decimalLatitude,decimalLongitude,individualCount
-53,-70,0.14160962945480293
-47,-72,0.02360160490913382
-40,-62,0.02360160490913382
-38,-73,0.1180080245456691
-37,-57,0.04720320981826764
-36,-57,0.02360160490913382
-36,-56,5.522775548737314
-35,-57,5.451970734009913
-34,-72,0.02360160490913382
-34,-56,0.07080481472740147
-34,-55,0.16521123436393675
-34,-54,14.585791833844702
-34,-53,0.02360160490913382
-33,-71,0.07080481472740147
-33,-70,0.07080481472740147
-33,-58,0.07080481472740147
-33,-53,0.8496577767288176
-32,-71,0.16521123436393675
-32,-54,0.28321925890960586
-32,-52,0.02360160490913382
-31,-56,0.04720320981826764
-31,-51,14.821807882936039
-31,-50,33.915506254425296
-30,-62,0.259617654000472
-30,-60,1.2980882700023602
-29,-71,0.2360160490913382
-28,-60,0.04720320981826764
-28,-49,4.460703327826292
-28,-48,0.02360160490913382
-27,-70,0.14160962945480293
-27,-48,0.02360160490913382
-26,-54,0.18881283927307055
-25,-57,9.464243568562662
-23,-70,0.02360160490913382
-23,-45,0.02360160490913382
-22,-66,0.80245456691055
-22,-59,0.02360160490913382
-21,-69,0.09440641963653527
-20,-66,0.2360160490913382
-20,-56,0.04720320981826764
-18,-70,2.4073637007316497
-17,-71,0.07080481472740147
-17,-66,0.07080481472740147
-16,-71,0.07080481472740147
-16,-61,0.02360160490913382
-16,-56,0.02360160490913382
-16,-55,0.02360160490913382
-15,-70,0.07080481472740147
-14,-68,0.07080481472740147
-13,-76,0.07080481472740147
-13,-72,0.02360160490913382
-13,-71,0.07080481472740147
-13,-69,0.04720320981826764
-12,-77,0.02360160490913382
-12,-76,0.04720320981826764
-12,-75,0.8732593816379515
-12,-71,0.04720320981826764
-12,-70,0.04720320981826764
-3,-60,0.04720320981826764
-2,-80,0.09440641963653527
-2,-69,0.09440641963653527
-2,-54,0.02360160490913382
-1,-79,0.04720320981826764
-1,-46,1.4160962945480293
3,-76,0.09440641963653527
4,-74,0.04720320981826764
4,-58,0.04720320981826764
4,-52,0.07080481472740147
